iata_code,icao_code,airport_name,city,country_code,latitude,longitude,elevation_ft,timezone,airport_type
ELY,KELY,Ely Airport Yelland Field,Ely,US,39.29970169,-114.8420029,6259,America/Los_Angeles,medium_airport
EMA,EGNX,East Midlands Airport,Nottingham,GB,52.8311,-1.32806,306,Europe/London,medium_airport
EMD,YEML,Emerald Airport,Emerald,AU,-23.5674991608,148.179000854,624,Australia/Brisbane,medium_airport
EMK,PAEM,Emmonak Airport,Emmonak,US,62.78609848,-164.4909973,13,America/Anchorage,medium_airport
EML,LSME,Emmen Air Base,Emmen,CH,47.092444,8.305184,1400,Europe/Zurich,medium_airport
ENA,PAEN,Kenai Municipal Airport,Kenai,US,60.570946,-151.245174,99,America/Anchorage,medium_airport
ENC,LFSN,Nancy-Essey Airport,"Tomblaine, Meurthe-et-Moselle",FR,48.692101,6.23046,751,Europe/Paris,medium_airport
END,KEND,Vance Air Force Base,Enid,US,36.339199,-97.916496,1307,America/Chicago,medium_airport
ENF,EFET,Enontekio Airport,Enontekio,FI,68.362602233887,23.424299240112,1005,Europe/Helsinki,medium_airport
ENH,ZHES,Enshi Xujiaping Airport,Enshi (Enshi),CN,30.320299,109.485001,1605,Asia/Shanghai,medium_airport
ENK,EGAB,Enniskillen/St Angelo Airport,"Enniskillen, Fermanagh and Omagh",GB,54.398274,-7.651179,155,Europe/London,medium_airport
ENN,PANN,Nenana Municipal Airport,Nenana,US,64.548772,-149.074516,362,America/Anchorage,medium_airport
ENO,SGEN,Aeropuerto Internacional Tte. Amín Ayub González,Encarnación,PY,-27.227537,-55.837584,659,America/Asuncion,large_airport
ENS,EHTW,Twente Airport,Enschede,NL,52.275833,6.889167,114,Europe/Amsterdam,medium_airport
ENU,DNEN,Akanu Ibiam International Airport,Enegu,NG,6.474269866943359,7.561960220336914,466,Africa/Lagos,medium_airport
ENV,KENV,Wendover Airport,Wendover,US,40.7187004089,-114.03099823,4237,America/Denver,medium_airport
ENW,KENW,Kenosha Regional Airport,Kenosha,US,42.59569931,-87.92780304,742,America/Chicago,medium_airport
ENY,ZLYA,Yan'an Nanniwan Airport,Yan'an (Baota),CN,36.479413,109.464083,,Asia/Shanghai,medium_airport
EOH,SKMD,Enrique Olaya Herrera Airport,Medellín,CO,6.219686,-75.590597,4949,America/Bogota,medium_airport
EOI,EGED,Eday Airport,Eday,GB,59.19060134887695,-2.7722198963165283,10,Europe/London,medium_airport
EOR,SVED,El Dorado Airport,Bolivar,VE,6.71573,-61.638786,318,America/Caracas,medium_airport
EOZ,SVEZ,Elorza Airport,,VE,7.059677,-69.4967,295,America/Caracas,medium_airport
EPA,SADP,El Palomar Airport,El Palomar,AR,-34.6099,-58.6126,59,America/Argentina/Buenos_Aires,medium_airport
EPL,LFSG,Épinal Mirecourt Airport,Épinal,FR,48.325001,6.06998,1084,Europe/Paris,medium_airport
EPR,YESP,Esperance Airport,Esperance,AU,-33.684399,121.822998,470,Australia/Perth,medium_airport
